Type,Token,Log(Probability)
Positive,bucks,-14.9315767163
Positive,lambs,-15.5596079389
Positive,goodfellas,-15.0190395575
Positive,dawsons,-16.2116846355
Positive,capture,-14.5596079389
Positive,shooting,-14.1121489619
Positive,generic,-15.6971114626
Positive,began,-13.8095861919
Positive,views,-14.3185998394
Positive,funniest,-14.2641520554
Positive,proceeds,-15.4340770568
Positive,strange,-12.5271864612
Positive,northwest,-17.4340770568
Positive,dickens,-15.5596079389
Positive,underground,-14.8491145561
Positive,party,-12.9315767163
Positive,walters,-16.2116846355
Positive,dammes,-17.4340770568
Positive,http,-17.0190395575
Positive,unconventional,-16.2116846355
Positive,impeccably,-16.6971114626
Positive,absorb,-16.6971114626
Positive,appearances,-14.2641520554
Positive,forgotten,-14.3751833678
Positive,effect,-12.9105151008
Positive,preteen,-17.0190395575
Positive,heathers,-16.6971114626
Positive,sarcastic,-15.8491145561
Positive,fierce,-16.4340770568
Positive,frequently,-14.4340770568
Positive,spree,-17.0190395575
Positive,impeccable,-16.2116846355
Positive,steals,-13.8095861919
Positive,destruction,-14.5596079389
Positive,binks,-16.2116846355
Positive,paycheck,-17.4340770568
Positive,ashley,-15.8491145561
Positive,reflection,-15.4340770568
Positive,awakenings,-16.2116846355
Positive,nonetheless,-14.3185998394
Positive,well,-9.42845250762
Positive,elude,-17.4340770568
Positive,finds,-11.6353352651
Positive,rife,-17.0190395575
Positive,mccabe,-18.0190395575
Positive,corporation,-16.0190395575
Positive,eliminate,-16.2116846355
Positive,restore,-16.2116846355
Positive,underdog,-18.0190395575
Positive,enormously,-16.4340770568
Positive,increasingly,-14.7711120441
Positive,accurate,-14.9315767163
Positive,mistaken,-15.1121489619
Positive,dose,-15.6971114626
Positive,pleasantville,-14.6267221348
Positive,mistakes,-15.2116846355
Positive,distant,-14.6267221348
Positive,1994s,-16.6971114626
Positive,advertised,-16.6971114626
Positive,skill,-14.9315767163
Positive,lauren,-17.0190395575
Positive,jackal,-16.0190395575
Positive,femme,-16.2116846355
Positive,claim,-15.2116846355
Positive,pursues,-16.6971114626
Positive,jeff,-13.5927748028
Positive,patricia,-15.5596079389
Positive,killed,-12.7152588094
Positive,lured,-17.0190395575
Positive,unpredictability,-17.0190395575
Positive,miramax,-16.4340770568
Positive,morgue,-17.4340770568
Positive,possess,-15.6971114626
Positive,warrant,-17.4340770568
Positive,kick,-15.1121489619
Positive,details,-12.9529503671
Positive,jeanpierre,-16.6971114626
Positive,definitive,-16.2116846355
Positive,fate,-13.4340770568
Positive,devised,-16.4340770568
Positive,utah,-16.6971114626
Positive,crushed,-16.6971114626
Positive,propelled,-16.0190395575
Positive,historic,-16.6971114626
Positive,unseen,-15.4340770568
Positive,immediately,-12.8491145561
Positive,womens,-16.2116846355
Positive,prominent,-15.1121489619
Positive,loss,-14.3751833678
Positive,lincoln,-17.4340770568
Positive,necessary,-13.6971114626
Positive,renegade,-16.6971114626
Positive,lost,-11.7998710371
Positive,fingerprints,-16.6971114626
Positive,candy,-15.1121489619
Positive,roth,-14.9315767163
Positive,sissy,-17.0190395575
Positive,pinkett,-16.2116846355
Positive,lose,-14.0190395575
Positive,page,-17.0190395575
Positive,lends,-15.5596079389
Positive,gilliam,-16.0190395575
Positive,shed,-15.5596079389
Positive,gillian,-16.4340770568
Positive,shen,-18.0190395575
Positive,phenomena,-15.5596079389
Positive,library,-16.4340770568
Positive,motive,-15.8491145561
Positive,francisco,-15.8491145561
Positive,deliverance,-15.8491145561
Positive,home,-11.0246861207
Positive,liking,-15.6971114626
Positive,peter,-12.3325390304
Positive,broad,-15.0190395575
Positive,traumatic,-16.6971114626
Positive,rewarding,-15.8491145561
Positive,cradle,-17.0190395575
Positive,wendy,-17.4340770568
Positive,humorously,-17.0190395575
Positive,naboo,-15.5596079389
Positive,hugos,-16.4340770568
Positive,depalma,-16.4340770568
Positive,demonstrated,-16.2116846355
Positive,limitations,-17.0190395575
Positive,medieval,-15.5596079389
Positive,reaching,-15.4340770568
Positive,reza,-14.9315767163
Positive,stowe,-18.0190395575
Positive,ridley,-17.0190395575
Positive,poignant,-14.3185998394
Positive,yuen,-15.8491145561
Positive,instinct,-15.3185998394
Positive,choked,-16.6971114626
Positive,refuge,-16.6971114626
Positive,blythe,-18.0190395575
Positive,freedom,-13.5271864612
Positive,sinister,-14.6267221348
Positive,cleans,-18.0190395575
Positive,recognized,-15.0190395575
Positive,nightclub,-15.6971114626
Positive,stamp,-17.0190395575
Positive,trials,-15.5596079389
Positive,recognizes,-15.5596079389
Positive,tongue,-15.8491145561
Positive,stakes,-16.0190395575
Positive,marlowe,-17.0190395575
Positive,equally,-13.1121489619
Positive,carolyn,-16.2116846355
Positive,glenn,-14.6267221348
Positive,previously,-14.1121489619
Positive,primal,-15.6971114626
Positive,vulgarity,-17.0190395575
Positive,washington,-13.5596079389
Positive,articulate,-16.0190395575
Positive,20th,-15.3185998394
Positive,artists,-14.4954776015
Positive,couldnt,-12.9966717445
Positive,dug,-16.0190395575
Positive,pointless,-15.1121489619
Positive,woodys,-15.5596079389
Positive,jing,-15.6971114626
Positive,accused,-15.8491145561
Positive,additional,-16.0190395575
Positive,francis,-15.0190395575
Positive,epilogue,-16.0190395575
Positive,museum,-14.8491145561
Positive,daniels,-15.8491145561
Positive,relegated,-16.0190395575
Positive,dolores,-14.7711120441
Positive,noticed,-14.8491145561
Positive,accountant,-15.6971114626
Positive,inner,-14.7711120441
Positive,notices,-16.0190395575
Positive,exposure,-17.0190395575
Positive,recruited,-16.4340770568
Positive,ghost,-13.237679844
Positive,cricket,-16.4340770568
Positive,prophetic,-17.0190395575
Positive,north,-14.4340770568
Positive,evacuate,-17.0190395575
Positive,subjective,-16.2116846355
Positive,neutral,-16.6971114626
Positive,nobodys,-16.4340770568
Positive,ho,-17.4340770568
Positive,gail,-16.2116846355
Positive,technician,-18.0190395575
Positive,ha,-15.6971114626
Positive,eat,-14.0190395575
Positive,he,-7.25624229504
Positive,territory,-15.3185998394
Positive,verhoeven,-14.8491145561
Positive,cells,-16.4340770568
Positive,signed,-16.4340770568
Positive,carriage,-16.6971114626
Positive,converted,-17.0190395575
Positive,limit,-16.4340770568
Positive,delights,-16.0190395575
Positive,pumped,-17.4340770568
Positive,neonoir,-17.4340770568
Positive,walter,-14.4340770568
Positive,display,-14.6971114626
Positive,urging,-16.6971114626
Positive,mechanics,-17.0190395575
Positive,marketplace,-17.4340770568
Positive,reservations,-17.4340770568
Positive,universal,-14.2641520554
Positive,penny,-16.4340770568
Positive,kisses,-16.4340770568
Positive,dialogue,-11.6096486214
Positive,twist,-13.7336373387
Positive,beats,-15.3185998394
Positive,crystals,-16.6971114626
Positive,kissed,-17.0190395575
Positive,eric,-14.5596079389
Positive,balcony,-16.4340770568
Positive,proyas,-16.4340770568
Positive,diego,-16.6971114626
Positive,functions,-15.8491145561
Positive,rumors,-15.8491145561
Positive,infatuated,-16.2116846355
Positive,ingredients,-14.9315767163
Positive,offensive,-14.7711120441
Positive,trekkies,-15.6971114626
Positive,guarantee,-16.6971114626
Positive,crummy,-18.0190395575
Positive,meteor,-16.2116846355
Positive,finch,-16.4340770568
Positive,suspiciously,-18.0190395575
Positive,fledgling,-17.0190395575
Positive,fodder,-15.6971114626
Positive,wouldbe,-15.5596079389
Positive,star,-10.7382687874
Positive,ecstatic,-16.6971114626
Positive,living,-12.3325390304
Positive,astounding,-14.8491145561
Positive,insults,-16.4340770568
Positive,foil,-16.6971114626
Positive,stab,-14.8491145561
Positive,additionally,-17.0190395575
Positive,stan,-16.0190395575
Positive,animosity,-16.6971114626
Positive,goofiness,-18.0190395575
Positive,howie,-18.0190395575
Positive,dewey,-15.2116846355
Positive,accidents,-16.2116846355
Positive,kevins,-16.4340770568
Positive,atheist,-15.8491145561
Positive,martin,-12.8292149987
Positive,portion,-15.8491145561
Positive,extras,-15.2116846355
Positive,katherine,-15.8491145561
Positive,foreshadowing,-16.2116846355
Positive,simpson,-18.0190395575
Positive,aided,-15.2116846355
Positive,secondly,-15.8491145561
Positive,todays,-14.6267221348
Positive,pardon,-16.6971114626
Positive,dynamic,-15.8491145561
Positive,whoopi,-16.4340770568
Positive,andre,-16.6971114626
Positive,asian,-14.8491145561
Positive,perverted,-17.0190395575
Positive,consists,-14.7711120441
Positive,captain,-13.9315767163
Positive,whose,-11.3896829375
Positive,fronts,-16.6971114626
Positive,gamut,-16.6971114626
Positive,buddy,-14.5596079389
Positive,segments,-14.6971114626
Positive,swan,-17.0190395575
Positive,sweetest,-16.6971114626
Positive,seriously,-13.2641520554
Positive,steadily,-16.6971114626
Positive,presents,-13.6267221348
Positive,swat,-17.4340770568
Positive,exploding,-16.2116846355
Positive,kidman,-14.4954776015
Positive,trousers,-16.6971114626
Positive,teaching,-15.4340770568
Positive,sorry,-14.7711120441
Positive,madsen,-17.0190395575
Positive,winfrey,-16.2116846355
Positive,fists,-17.4340770568
Positive,saves,-15.2116846355
Positive,rescue,-13.6971114626
Positive,void,-17.4340770568
Positive,misunderstanding,-16.4340770568
Positive,smack,-17.4340770568
Positive,stolen,-13.9746454382
Positive,affect,-15.4340770568
Positive,disneys,-13.4043297134
Positive,courageous,-16.6971114626
Positive,vast,-14.8491145561
Positive,look,-10.7336373387
Positive,dominate,-16.2116846355
Positive,skills,-14.2116846355
Positive,graced,-17.0190395575
Positive,companies,-16.4340770568
Positive,solution,-15.3185998394
Positive,carrie,-15.3185998394
Positive,correct,-15.1121489619
Positive,convenience,-16.4340770568
Positive,unrelated,-16.4340770568
Positive,enhance,-15.8491145561
Positive,ups,-15.6971114626
Positive,whirlwind,-16.6971114626
Positive,uncovers,-16.4340770568
Positive,force,-12.5112449173
Positive,controversial,-14.1610585624
Positive,quilt,-15.4340770568
Positive,superiors,-16.6971114626
Positive,dogmas,-16.4340770568
Positive,warns,-15.0190395575
Positive,rodman,-16.0190395575
Positive,japanese,-13.4043297134
Positive,across,-12.5760960617
Positive,likely,-12.9966717445
Positive,kidnap,-16.2116846355
Positive,colourful,-16.0190395575
Positive,even,-9.15795265154
Positive,neo,-15.0190395575
Positive,wreck,-15.4340770568
Positive,complexities,-17.4340770568
Positive,rekindle,-16.6971114626
Positive,ned,-15.0190395575
Positive,orchestra,-16.0190395575
Positive,while,-9.5493977403
Positive,liberated,-16.2116846355
Positive,haze,-17.4340770568
Positive,new,-9.86929243803
Positive,net,-16.0190395575
Positive,ever,-10.6747436496
Positive,eves,-18.0190395575
Positive,harbors,-17.0190395575
Positive,relationships,-13.5271864612
Positive,meg,-14.7711120441
Positive,screams,-15.3185998394
Positive,mel,-13.5596079389
Positive,men,-11.0078123021
Positive,disposable,-16.6971114626
Positive,weirdly,-17.0190395575
Positive,drew,-14.3185998394
Positive,automatic,-17.0190395575
Positive,anticlimactic,-16.4340770568
Positive,met,-14.4340770568
Positive,nanny,-17.0190395575
Positive,active,-15.8491145561
Positive,cardboard,-16.0190395575
Positive,interpret,-17.0190395575
Positive,dry,-14.4340770568
Positive,oozes,-16.4340770568
Positive,tapes,-16.0190395575
Positive,suitably,-15.4340770568
Positive,rests,-18.0190395575
Positive,vulnerability,-15.4340770568
Positive,ignoring,-17.4340770568
Positive,hokey,-15.6971114626
Positive,eilonwy,-16.0190395575
Positive,omar,-16.6971114626
Positive,cindy,-17.4340770568
Positive,lucrative,-16.6971114626
Positive,suitable,-15.3185998394
Positive,intrigue,-15.6971114626
Positive,astute,-17.0190395575
Positive,joshua,-17.4340770568
Positive,fantastic,-13.4043297134
Positive,digitally,-16.4340770568
Positive,besides,-14.4954776015
Positive,rosenberg,-18.0190395575
Positive,reagan,-17.0190395575
Positive,county,-17.0190395575
Positive,specifics,-16.2116846355
Positive,ninety,-16.0190395575
Positive,moral,-13.8491145561
Positive,guests,-16.2116846355
Positive,drowned,-17.4340770568
Positive,quits,-16.4340770568
Positive,gorillas,-16.0190395575
Positive,counts,-16.4340770568
Positive,landscape,-15.1121489619
Positive,criminals,-15.3185998394
Positive,army,-12.6614875529
Positive,barks,-16.6971114626
Positive,arms,-14.4954776015
Positive,edward,-13.2641520554
Positive,overhead,-18.0190395575
Positive,calm,-15.1121489619
Positive,recommend,-13.4043297134
Positive,survive,-14.4340770568
Positive,type,-12.8897565406
Positive,tell,-11.8591682208
Positive,mekhi,-17.0190395575
Positive,supporters,-16.4340770568
Positive,lungs,-16.6971114626
Positive,wary,-16.4340770568
Positive,oscar,-12.1363965082
Positive,schrader,-15.5596079389
Positive,lyonne,-18.0190395575
Positive,wars,-12.4043297134
Positive,warp,-16.6971114626
Positive,warn,-16.6971114626
Positive,dogma,-14.8491145561
Positive,kgb,-16.4340770568
Positive,frenzy,-16.0190395575
Positive,adult,-13.08830222
Positive,ward,-15.1121489619
Positive,inhabited,-16.6971114626
Positive,directorial,-14.6971114626
Positive,room,-12.1988605951
Positive,rights,-14.9315767163
Positive,setup,-13.5927748028
Positive,somber,-16.2116846355
Positive,roof,-16.4340770568
Positive,movies,-9.8516214117
Positive,exploitative,-17.4340770568
Positive,exceptions,-15.4340770568
Positive,hansel,-16.0190395575
Positive,root,-14.8491145561
Positive,washingtons,-16.0190395575
Positive,give,-11.4721450976
Positive,danvers,-17.4340770568
Positive,programming,-16.4340770568
Positive,climax,-13.3751833678
Positive,laughs,-12.5760960617
Positive,honed,-17.0190395575
Positive,involve,-15.8491145561
Positive,ready,-13.291119103
Positive,foods,-17.0190395575
Positive,advancing,-16.6971114626
Positive,loathe,-16.6971114626
Positive,allens,-15.1121489619
Positive,titular,-16.6971114626
Positive,faults,-15.3185998394
Positive,amazing,-12.3608280748
Positive,kilmer,-15.0190395575
Positive,answer,-13.8095861919
Positive,alienation,-16.6971114626
Positive,aboard,-14.9315767163
Positive,blanks,-17.0190395575
Positive,minority,-16.4340770568
Positive,leasure,-16.2116846355
Positive,replacing,-17.0190395575
Positive,vicious,-14.6267221348
Positive,coup,-17.0190395575
Positive,curiosity,-15.6971114626
Positive,balthazar,-18.0190395575
Positive,president,-12.9966717445
Positive,lesbian,-15.1121489619
Positive,purchase,-17.0190395575
Positive,attempt,-12.8491145561
Positive,third,-12.8491145561
Positive,annies,-16.4340770568
Positive,descends,-16.6971114626
Positive,cinque,-14.9315767163
Positive,fictitious,-16.4340770568
Positive,waited,-15.8491145561
Positive,goodbye,-15.5596079389
Positive,operate,-16.2116846355
Positive,operations,-15.6971114626
Positive,tribulations,-16.0190395575
Positive,helens,-17.4340770568
Positive,unfolds,-15.1121489619
Positive,deck,-15.6971114626
Positive,drumlin,-16.0190395575
Positive,helena,-16.2116846355
Positive,ghastly,-16.6971114626
Positive,fable,-14.6267221348
Positive,budding,-16.4340770568
Positive,intoxicated,-16.4340770568
Positive,before,-10.4117092438
Positive,scoring,-17.0190395575
Positive,position,-13.7711120441
Positive,bigalow,-15.8491145561
Positive,furlong,-17.0190395575
Positive,personal,-12.291119103
Positive,monkeys,-15.5596079389
Positive,plantation,-15.8491145561
Positive,differently,-15.5596079389
Positive,downtoearth,-15.8491145561
Positive,weeks,-13.8491145561
Positive,dreamworks,-14.2116846355
Positive,confidently,-16.6971114626
Positive,combination,-14.2641520554
Positive,weakness,-15.5596079389
Positive,unemployed,-15.6971114626
Positive,strangest,-16.6971114626
Positive,hisher,-18.0190395575
Positive,therapy,-15.4340770568
Positive,indulge,-16.2116846355
Positive,downright,-14.4954776015
Positive,remaining,-14.4954776015
Positive,meat,-14.8491145561
Positive,convinces,-15.4340770568
Positive,sleepless,-16.2116846355
Positive,arrested,-15.6971114626
Positive,lucy,-16.4340770568
Positive,composition,-17.0190395575
Positive,droll,-16.2116846355
Positive,victories,-16.6971114626
Positive,discipline,-16.6971114626
Positive,went,-12.6971114626
Positive,rosemary,-16.0190395575
Positive,conceive,-16.2116846355
Positive,bone,-15.5596079389
Positive,lofty,-16.0190395575
Positive,inserts,-17.0190395575
Positive,calmly,-17.0190395575
Positive,enthusiasts,-16.6971114626
Positive,upstaged,-16.6971114626
Positive,metaphysical,-16.2116846355
Positive,marital,-17.0190395575
Positive,taught,-15.4340770568
Positive,trading,-17.0190395575
Positive,forgot,-17.0190395575
Positive,navy,-15.6971114626
Positive,aids,-15.6971114626
Positive,dawn,-15.5596079389
Positive,extract,-18.0190395575
Positive,comedies,-13.6971114626
Positive,1996s,-15.6971114626
Positive,velvet,-15.2116846355
Positive,typecast,-16.4340770568
Positive,videotape,-15.1121489619
Positive,restricted,-16.6971114626
Positive,tales,-14.8491145561
Positive,estella,-15.2116846355
Positive,mandy,-17.0190395575
Positive,content,-13.8095861919
Positive,patricks,-18.0190395575
Positive,molina,-16.4340770568
Positive,reader,-15.8491145561
Positive,surprise,-12.4491839492
Positive,corman,-18.0190395575
Positive,sluggish,-16.4340770568
Positive,grodin,-16.2116846355
Positive,grease,-15.1121489619
Positive,assaults,-17.4340770568
Positive,linear,-16.6971114626
Positive,resume,-16.6971114626
Positive,cutesy,-17.0190395575
Positive,friends,-11.3969877381
Positive,revenge,-13.8491145561
Positive,youngsters,-15.4340770568
Positive,struggle,-13.5596079389
Positive,everyman,-15.5596079389
Positive,mistress,-16.2116846355
Positive,satine,-16.4340770568
Positive,starts,-12.0765250522
Positive,cosmic,-16.6971114626
Positive,punctuated,-16.6971114626
Positive,leila,-14.1121489619
Positive,flown,-16.6971114626
Positive,signature,-16.6971114626
Positive,moving,-12.6096486214
Positive,hannibal,-17.4340770568
Positive,loud,-14.0648432471
Positive,stewart,-14.2116846355
Positive,grownups,-16.4340770568
Positive,playwright,-16.6971114626
Positive,features,-12.4340770568
Positive,chew,-16.4340770568
Positive,grade,-15.4340770568
Positive,hoot,-15.4340770568
Positive,hook,-14.9315767163
Positive,featured,-14.8491145561
Positive,warped,-15.6971114626
Positive,grady,-15.8491145561
Positive,downside,-16.2116846355
Positive,parodying,-17.0190395575
Positive,immensely,-15.0190395575
Positive,ditch,-17.0190395575
Positive,assortment,-15.8491145561
Positive,hood,-14.7711120441
Positive,monotonous,-16.6971114626
Positive,brock,-16.4340770568
Positive,girls,-12.7522530168
Positive,twisted,-14.3185998394
Positive,ingenue,-18.0190395575
Positive,garry,-16.6971114626
Positive,witnessing,-16.2116846355
Positive,gandolfini,-17.4340770568
Positive,inferno,-18.0190395575
Positive,twister,-14.4954776015
Positive,hawke,-15.2116846355
Positive,fiery,-16.2116846355
Positive,dramatized,-17.4340770568
Positive,bouncing,-17.4340770568
Positive,gym,-16.6971114626
Positive,digs,-16.6971114626
Positive,godawful,-18.0190395575
Positive,stoic,-17.4340770568
Positive,somewhat,-12.4043297134
Positive,helen,-14.2116846355
Positive,hadnt,-14.9315767163
Positive,requisite,-15.8491145561
Positive,peculiar,-15.5596079389
Positive,begins,-11.5191936705
Positive,chef,-16.2116846355
Positive,anxiety,-16.4340770568
Positive,bits,-14.9315767163
Positive,database,-17.4340770568
Positive,bitterness,-16.4340770568
Positive,spending,-14.8491145561
Positive,preparation,-17.0190395575
Positive,matter,-12.0532552729
Positive,fabulous,-15.5596079389
Positive,silly,-13.4644507059
Positive,mermaid,-14.2116846355
Positive,childlike,-15.6971114626
Positive,spoiled,-17.0190395575
Positive,knights,-15.6971114626
Positive,enables,-17.0190395575
Positive,sees,-12.8095861919
Positive,palace,-15.2116846355
Positive,ichabod,-16.0190395575
Positive,modern,-12.869292438
Positive,mind,-11.4491839492
Positive,mine,-15.2116846355
Positive,ginger,-16.4340770568
Positive,emphasizing,-16.4340770568
Positive,seen,-10.237679844
Positive,seem,-11.1242217942
Positive,obviously,-12.6096486214
Positive,seek,-15.0190395575
Positive,tells,-12.237679844
Positive,thornton,-15.3185998394
Positive,fitting,-15.5596079389
Positive,edge,-13.4043297134
Positive,niece,-17.0190395575
Positive,musketeers,-17.4340770568
Positive,sleeper,-15.6971114626
Positive,hoods,-17.0190395575
Positive,quarterback,-16.4340770568
Positive,ulrich,-18.0190395575
Positive,caricatures,-15.3185998394
Positive,philadelphia,-16.6971114626
Positive,psychologically,-16.6971114626
Positive,doublecrosses,-16.2116846355
Positive,overplayed,-17.0190395575
Positive,translator,-16.6971114626
Positive,mario,-17.0190395575
Positive,regular,-14.5596079389
Positive,sidewalk,-17.4340770568
Positive,marie,-15.3185998394
Positive,unknowingly,-16.6971114626
Positive,maria,-16.0190395575
Positive,broadcast,-15.1121489619
Positive,don,-14.2641520554
Positive,observation,-16.0190395575
Positive,doc,-16.4340770568
Positive,medical,-14.2641520554
Positive,m,-13.5596079389
Positive,dog,-12.1610585624
Positive,breathes,-17.0190395575
Positive,doe,-16.2116846355
Positive,digress,-17.4340770568
Positive,points,-13.0190395575
Positive,principle,-16.0190395575
Positive,consumer,-17.0190395575
Positive,annoyed,-16.2116846355
Positive,urgency,-16.4340770568
Positive,kristen,-16.0190395575
Positive,beaten,-15.6971114626
Positive,lyrics,-15.3185998394
Positive,ambassador,-16.6971114626
Positive,retire,-15.8491145561
Positive,brilliance,-15.1121489619
Positive,ending,-11.4265825203
Positive,kruger,-17.0190395575
Positive,attempts,-12.9105151008
Positive,liberty,-16.0190395575
Positive,cusacks,-16.4340770568
Positive,sneaking,-17.0190395575
Positive,nevada,-16.2116846355
Positive,marvelously,-16.0190395575
Positive,judges,-15.4340770568
Positive,advanced,-15.5596079389
Positive,undoubtedly,-15.8491145561
Positive,explain,-13.9315767163
Positive,debts,-16.6971114626
Positive,sugar,-15.5596079389
Positive,folks,-14.5596079389
Positive,gangsta,-16.4340770568
Positive,boyfriend,-14.1121489619
Positive,wearing,-14.8491145561
Positive,extraterrestrials,-16.6971114626
Positive,above,-12.7711120441
Positive,colorful,-14.1610585624
Positive,plimpton,-18.0190395575
Positive,stop,-12.4798807464
Positive,perceive,-16.4340770568
Positive,coast,-15.4340770568
Positive,christopher,-13.9315767163
Positive,onejoke,-16.6971114626
Positive,smug,-17.0190395575
Positive,quarters,-16.2116846355
Positive,earl,-15.6971114626
Positive,earn,-15.5596079389
Positive,bar,-14.2641520554
Positive,optimistic,-15.8491145561
Positive,fields,-16.0190395575
Positive,howser,-16.6971114626
Positive,baz,-16.2116846355
Positive,disco,-15.0190395575
Positive,bag,-14.3751833678
Positive,bad,-10.8095861919
Positive,seeks,-15.8491145561
Positive,favors,-17.0190395575
Positive,earp,-17.4340770568
Positive,ears,-15.6971114626
Positive,headed,-15.4340770568
Positive,ethical,-17.0190395575
Positive,winslet,-14.4340770568
Positive,decides,-12.7152588094
Positive,distanced,-17.4340770568
Positive,reference,-14.6971114626
Positive,diminutive,-16.6971114626
Positive,fluffy,-16.4340770568
Positive,testing,-16.6971114626
Positive,australia,-15.5596079389
Positive,allure,-16.6971114626
Positive,suited,-15.6971114626
Positive,simultaneously,-14.8491145561
Positive,armageddon,-14.9315767163
Positive,incorporating,-16.4340770568
Positive,subject,-12.7522530168
Positive,pete,-15.2116846355
Positive,snuff,-15.6971114626
Positive,said,-11.8591682208
Positive,narrated,-16.2116846355
Positive,sorta,-17.0190395575
Positive,sail,-16.6971114626
Positive,victorian,-16.6971114626
Positive,artificial,-15.2116846355
Positive,continent,-16.6971114626
Positive,narrates,-15.5596079389
Positive,protected,-18.0190395575
Positive,pets,-17.0190395575
Positive,sorts,-14.7711120441
Positive,tolerance,-16.4340770568
Positive,warrior,-15.6971114626
Positive,lazy,-15.6971114626
Positive,wears,-14.6267221348
Positive,vows,-16.2116846355
Positive,dumber,-17.0190395575
Positive,ignorance,-16.2116846355
Positive,jolts,-16.6971114626
Positive,harper,-16.0190395575
Positive,motta,-15.2116846355
Positive,cousin,-15.5596079389
Positive,picking,-15.4340770568
Positive,meaningful,-15.8491145561
Positive,dumbed,-18.0190395575
Positive,illusions,-16.4340770568
Positive,suggested,-16.6971114626
Positive,maneuvers,-16.6971114626
Positive,janitor,-15.5596079389
Positive,uncertainty,-16.6971114626
Positive,against,-11.4644507059
Positive,russia,-16.0190395575
Positive,distinction,-16.4340770568
Positive,contribution,-16.2116846355
Positive,confronted,-15.6971114626
Positive,driller,-18.0190395575
Positive,presumably,-16.6971114626
Positive,appeared,-14.6267221348
Positive,cemetery,-18.0190395575
Positive,textured,-16.4340770568
Positive,incessant,-16.6971114626
Positive,offerings,-18.0190395575
Positive,quinn,-14.5596079389
Positive,springs,-17.0190395575
Positive,copycat,-15.8491145561
Positive,sam,-12.7152588094
Positive,asks,-13.2641520554
Positive,basis,-14.5596079389
Positive,futility,-17.0190395575
Positive,three,-11.0474960036
Positive,tiny,-14.2116846355
Positive,particulars,-16.6971114626
Positive,trigger,-17.4340770568
Positive,interest,-12.8095861919
Positive,basic,-13.3185998394
Positive,entered,-15.6971114626
Positive,lovely,-14.1610585624
Positive,preston,-18.0190395575
Positive,idol,-17.4340770568
Positive,threw,-17.4340770568
Positive,toller,-16.4340770568
Positive,obtained,-17.4340770568
Positive,deeper,-14.2641520554
Positive,sunshine,-16.6971114626
Positive,argument,-14.6971114626
Positive,kudos,-14.9315767163
Positive,personally,-14.4954776015
Positive,dash,-16.4340770568
Positive,sheridan,-17.0190395575
Positive,tank,-16.0190395575
Positive,sly,-14.9315767163
Positive,remakes,-18.0190395575
Positive,hideously,-17.4340770568
Positive,neal,-15.3185998394
Positive,say,-10.7198315391
Positive,spontaneously,-17.0190395575
Positive,ugly,-14.4954776015
Positive,near,-12.6971114626
Positive,neat,-15.3185998394
Positive,balance,-14.4954776015
Positive,anchor,-15.8491145561
Positive,chilling,-14.8491145561
Positive,buried,-16.0190395575
Positive,pessimistic,-16.6971114626
Positive,jeanluc,-17.0190395575
Positive,seven,-13.0648432471
Positive,settles,-16.4340770568
Positive,mexico,-15.0190395575
Positive,iq,-17.0190395575
Positive,is,-5.57609606169
Positive,it,-6.68225408133
Positive,defeated,-17.4340770568
Positive,iv,-17.4340770568
Positive,ii,-13.1121489619
Positive,shame,-13.6267221348
Positive,bottomofthebarrel,-18.0190395575
Positive,im,-11.2574883251
Positive,cans,-17.0190395575
Positive,in,-5.85287647489
Positive,faked,-16.6971114626
Positive,fabulously,-16.6971114626
Positive,seattle,-15.8491145561
Positive,mouse,-14.0190395575
Positive,id,-13.0648432471
Positive,disappear,-15.4340770568
Positive,if,-9.04175963404
Positive,grown,-14.4954776015
Positive,bello,-17.4340770568
Positive,stein,-18.0190395575
Positive,realizing,-15.1121489619
Positive,potentially,-16.0190395575
Positive,belly,-17.0190395575
Positive,unfortunate,-14.3751833678
Positive,80s,-13.9315767163
Positive,sat,-16.0190395575
Positive,confronting,-16.6971114626
Positive,grows,-13.6971114626
Positive,entitled,-15.4340770568
Positive,meets,-12.4644507059
Positive,bearded,-17.4340770568
Positive,condemnation,-16.6971114626
Positive,tuckers,-16.6971114626
Positive,kit,-15.4340770568
Positive,delight,-14.0648432471
Positive,renaissance,-16.6971114626
Positive,warden,-16.6971114626
Positive,kim,-15.3185998394
Positive,jealous,-15.0190395575
Positive,overt,-17.4340770568
Positive,opportunity,-13.3185998394
Positive,aka,-16.2116846355
Positive,thoughts,-14.7711120441
Positive,kid,-12.6440001262
Positive,butter,-16.6971114626
Positive,romp,-15.8491145561
Positive,programs,-17.0190395575
Positive,changes,-13.5271864612
Positive,failing,-16.4340770568
Positive,smokes,-16.6971114626
Positive,expectation,-16.4340770568
Positive,punishment,-15.2116846355
Positive,rome,-16.2116846355
Positive,reese,-14.3185998394
Positive,qualities,-14.5596079389
Positive,claims,-14.0190395575
Positive,yours,-17.4340770568
Positive,mitchum,-16.0190395575
Positive,left,-11.5760960617
Positive,shagwell,-16.6971114626
Positive,consciousness,-17.4340770568
Positive,sentence,-15.2116846355
Positive,sporting,-16.2116846355
Positive,waynes,-16.2116846355
Positive,presume,-18.0190395575
Positive,unfair,-15.4340770568
Positive,assigned,-14.9315767163
Positive,fighters,-17.0190395575
Positive,identify,-14.3185998394
Positive,transforms,-15.8491145561
Positive,human,-11.3679878664
